date,region,units,revenue
2025-05-31,East,156,1497.21
2025-06-01,East,146,1481.72
2025-06-02,East,154,1602.55
2025-06-03,East,153,1613.78
2025-06-04,East,138,1347.79
2025-06-05,East,153,1444.37
2025-06-06,East,153,1637.82
2025-06-07,East,152,1405.12
2025-06-08,East,143,1305.6
2025-06-09,East,154,1457.33
2025-06-10,East,157,1567.67
2025-06-11,East,158,1719.72
2025-06-12,East,149,1558.2
2025-06-13,East,164,1660.98
2025-06-14,East,149,1496.32
2025-06-15,East,158,1641.12
2025-06-16,East,171,1753.25
2025-06-17,East,155,1499.26
2025-06-18,East,157,1442.12
2025-06-19,East,171,1607.72
2025-06-20,East,159,1679.9
2025-06-21,East,161,1653.29
2025-06-22,East,165,1748.07
2025-06-23,East,173,1572.39
2025-06-24,East,147,1587.84
2025-06-25,East,159,1552.56
2025-06-26,East,158,1714.67
2025-06-27,East,158,1609.87
2025-06-28,East,160,1615.14
2025-06-29,East,161,1712.42
2025-06-30,East,171,1752.9
2025-07-01,East,162,1676.56
2025-07-02,East,171,1592.9
2025-07-03,East,174,1776.35
2025-07-04,East,165,1602.64
2025-07-05,East,173,1583.15
2025-07-06,East,186,1723.55
2025-07-07,East,176,1752.89
2025-07-08,East,168,1600.2
2025-07-09,East,174,1832.33
2025-07-10,East,167,1543.88
2025-07-11,East,178,1606.92
2025-07-12,East,183,2011.89
2025-07-13,East,170,1636.41
2025-07-14,East,175,1753.43
2025-07-15,East,187,1761.56
2025-07-16,East,174,1638.66
2025-07-17,East,180,1764.83
2025-07-18,East,171,1809.11
2025-07-19,East,173,1570.49
2025-07-20,East,176,1878.73
2025-07-21,East,198,2174.15
2025-07-22,East,178,1801.06
2025-07-23,East,178,1730.16
2025-07-24,East,178,1685.28
2025-07-25,East,182,1704.59
2025-07-26,East,189,1823.22
2025-07-27,East,185,1980.11
2025-07-28,East,201,1810.31
2025-07-29,East,187,1976.96
2025-07-30,East,197,2035.97
2025-07-31,East,188,1699.15
2025-08-01,East,191,1745.57
2025-08-02,East,175,1832.27
2025-08-03,East,186,1924.42
2025-08-04,East,187,1800.25
2025-08-05,East,186,1994.4
2025-08-06,East,171,1610.87
2025-08-07,East,195,1921.49
2025-08-08,East,185,1707.55
2025-08-09,East,185,1903.91
2025-08-10,East,187,1715.55
2025-08-11,East,187,1750.13
2025-08-12,East,193,2032.81
2025-08-13,East,179,1790.09
2025-08-14,East,182,1878.92
2025-08-15,East,192,2009.84
2025-08-16,East,191,1950.7
2025-08-17,East,187,1756.96
2025-08-18,East,186,1933.84
2025-08-19,East,184,1698.67
2025-08-20,East,190,1812.53
2025-08-21,East,200,1979.25
2025-08-22,East,182,1679.66
2025-08-23,East,203,1870.03
2025-08-24,East,197,2029.99
2025-08-25,East,187,1960.49
2025-08-26,East,197,1919.05
2025-08-27,East,179,1750.57
2025-08-28,East,176,1657.08
2025-08-29,East,180,1807.79
2025-08-30,East,187,1900.06
2025-08-31,East,187,2032.17
2025-09-01,East,186,1689.1
2025-09-02,East,190,2055.32
2025-09-03,East,172,1888.78
2025-09-04,East,193,1870.67
2025-09-05,East,178,1860.39
2025-09-06,East,184,1959.54
2025-09-07,East,185,1905.92
2025-09-08,East,179,1714.43
2025-09-09,East,177,1813.51
2025-09-10,East,180,1935.69
2025-09-11,East,188,1732.25
2025-09-12,East,192,1912.31
2025-09-13,East,192,1736.7
2025-09-14,East,179,1913.5
2025-09-15,East,180,1900.26
2025-09-16,East,179,1627.48
2025-09-17,East,189,1982.92
2025-09-18,East,169,1754.75
2025-09-19,East,195,1804.24
2025-09-20,East,181,1819.11
2025-09-21,East,178,1847.41
2025-09-22,East,187,1808.47
2025-09-23,East,192,1921.5
2025-09-24,East,186,2037.05
2025-09-25,East,191,1961.83
2025-09-26,East,183,1830.73
2025-09-27,East,192,1753.34
2025-09-28,East,192,1774.53
2025-09-29,East,180,1926.28
2025-09-30,East,192,2013.16
2025-10-01,East,182,1941.97
2025-10-02,East,181,1838.27
2025-10-03,East,172,1746.15
2025-10-04,East,177,1780.82
2025-10-05,East,185,1936.98
2025-10-06,East,168,1622.95
2025-10-07,East,183,1828.79
2025-10-08,East,180,1789.12
2025-10-09,East,179,1847.87
2025-10-10,East,159,1499.76
2025-10-11,East,176,1592.83
2025-10-12,East,181,1661.06
2025-10-13,East,170,1590.94
2025-10-14,East,176,1885.75
2025-10-15,East,156,1627.65
2025-10-16,East,180,1889.99
2025-10-17,East,169,1671.15
2025-10-18,East,181,1666.2
2025-10-19,East,159,1578.96
2025-10-20,East,179,1919.95
2025-10-21,East,171,1713.13
2025-10-22,East,179,1837.2
2025-10-23,East,165,1608.48
2025-10-24,East,167,1553.13
2025-10-25,East,190,1948.12
2025-10-26,East,165,1645.04
2025-10-27,East,166,1608.75
2025-10-28,East,169,1608.38
2025-10-29,East,163,1693.89
2025-10-30,East,180,1734.45
2025-10-31,East,184,1867.96
2025-11-01,East,165,1570.71
2025-11-02,East,157,1649.57
2025-11-03,East,180,1754.98
2025-11-04,East,179,1782.3
2025-11-05,East,177,1921.36
2025-11-06,East,179,1868.18
2025-11-07,East,163,1707.04
2025-11-08,East,168,1626.02
2025-11-09,East,159,1698.23
2025-11-10,East,158,1543.9
2025-11-11,East,178,1953.84
2025-11-12,East,164,1769.86
2025-11-13,East,188,1939.83
2025-11-14,East,170,1812.7
2025-11-15,East,165,1664.53
2025-11-16,East,176,1842.05
2025-11-17,East,185,1711.17
2025-11-18,East,174,1910.03
2025-11-19,East,161,1706.67
2025-11-20,East,174,1615.57
2025-11-21,East,182,1726.31
2025-11-22,East,167,1695.04
2025-11-23,East,165,1736.71
2025-11-24,East,180,1673.59
2025-11-25,East,173,1889.38
2025-11-26,East,163,1579.78
2025-11-27,East,169,1857.3
2025-11-28,East,167,1754.36
2025-11-29,East,175,1744.93
2025-11-30,East,174,1692.22
2025-12-01,East,183,1682.31
2025-12-02,East,180,1651.64
2025-12-03,East,162,1661.94
2025-12-04,East,178,1877.37
2025-12-05,East,182,1968.35
2025-12-06,East,179,1741.67
2025-12-07,East,184,2001.05
2025-12-08,East,172,1650.13
2025-12-09,East,169,1838.68
2025-12-10,East,185,2004.97
2025-12-11,East,169,1573.39
2025-12-12,East,161,1726.18
2025-12-13,East,187,1946.18
2025-12-14,East,174,1810.45
2025-12-15,East,178,1901.19
2025-12-16,East,169,1702.39
2025-12-17,East,170,1702.3
2025-12-18,East,172,1674.26
2025-12-19,East,179,1920.76
2025-12-20,East,186,2009.21
2025-12-21,East,165,1537.98
2025-12-22,East,190,2003.42
2025-12-23,East,175,1671.43
2025-12-24,East,177,1658.09
2025-12-25,East,191,1794.33
2025-12-26,East,186,1887.27
2025-12-27,East,175,1672.92
2025-12-28,East,202,1915.88
2025-12-29,East,181,1664.66
2025-12-30,East,191,1843.04
2025-12-31,East,191,2014.7
2025-01-01,West,68,723.16
2025-01-02,West,63,675.43
2025-01-03,West,56,590.69
2025-01-04,West,69,697.09
2025-01-05,West,67,723.51
2025-01-06,West,77,768.76
2025-01-07,West,62,571.14
2025-01-08,West,86,820.81
2025-01-09,West,77,794.26
2025-01-10,West,74,722.11
2025-01-11,West,70,689.19
2025-01-12,West,70,686.31
2025-01-13,West,68,638.12
2025-01-14,West,74,679.84
2025-01-15,West,79,718.75
2025-01-16,West,78,806.91
2025-01-17,West,68,656.08
2025-01-18,West,78,773.27
2025-01-19,West,74,804.41
2025-01-20,West,82,840.77
2025-01-21,West,97,1030.27
2025-01-22,West,87,915.65
2025-01-23,West,80,872.59
2025-01-24,West,70,639.35
2025-01-25,West,72,703.32
2025-01-26,West,71,773.84
2025-01-27,West,90,893.6
2025-01-28,West,79,860.75
2025-01-29,West,86,805.8
2025-01-30,West,81,738.76
2025-01-31,West,87,938.81
2025-02-01,West,98,962.61
2025-02-02,West,81,811.34
2025-02-03,West,85,924.17
2025-02-04,West,81,764.55
2025-02-05,West,95,1038.96
2025-02-06,West,80,783.45
2025-02-07,West,79,750.09
2025-02-08,West,78,738.46
2025-02-09,West,78,782.88
2025-02-10,West,93,923.86
2025-02-11,West,110,1184.94
2025-02-12,West,82,746.33
2025-02-13,West,97,881.53
2025-02-14,West,92,856.11
2025-02-15,West,81,827.12
2025-02-16,West,88,929.52
2025-02-17,West,88,876.45
2025-02-18,West,85,869.34
2025-02-19,West,106,1090.22
2025-02-20,West,75,677.89
2025-02-21,West,93,882.81
2025-02-22,West,93,1022.58
2025-02-23,West,86,830.9
2025-02-24,West,92,1002.18
2025-02-25,West,97,968.5
2025-02-26,West,91,859.51
2025-02-27,West,93,837.45
2025-02-28,West,96,905.77
2025-03-01,West,74,713.58
2025-03-02,West,102,1007.62
2025-03-03,West,108,1068.59
2025-03-04,West,97,979.38
2025-03-05,West,97,964.98
2025-03-06,West,78,707.13
2025-03-07,West,88,838.99
2025-03-08,West,82,895.77
2025-03-09,West,84,760.61
2025-03-10,West,96,1004.94
2025-03-11,West,82,816.13
2025-03-12,West,87,906.0
2025-03-13,West,72,695.88
2025-03-14,West,86,837.66
2025-03-15,West,88,882.95
2025-03-16,West,81,876.36
2025-03-17,West,80,772.54
2025-03-18,West,101,926.34
2025-03-19,West,76,689.82
2025-03-20,West,77,828.76
2025-03-21,West,78,750.94
2025-03-22,West,94,868.47
2025-03-23,West,101,1029.48
2025-03-24,West,86,919.32
2025-03-25,West,78,795.53
2025-03-26,West,80,744.27
2025-03-27,West,91,892.84
2025-03-28,West,75,714.97
2025-03-29,West,93,840.08
2025-03-30,West,93,1016.62
2025-03-31,West,82,813.31
2025-04-01,West,86,797.17
2025-04-02,West,86,926.2
2025-04-03,West,92,1009.26
2025-04-04,West,71,754.87
2025-04-05,West,88,836.64
2025-04-06,West,76,712.96
2025-04-07,West,72,723.62
2025-04-08,West,79,803.19
2025-04-09,West,76,817.52
2025-04-10,West,69,754.48
2025-04-11,West,64,692.53
2025-04-12,West,69,668.21
2025-04-13,West,87,884.89
2025-04-14,West,91,841.54
2025-04-15,West,80,803.02
2025-04-16,West,84,767.89
2025-04-17,West,70,645.58
2025-04-18,West,73,674.8
2025-04-19,West,76,729.82
2025-04-20,West,65,625.26
2025-04-21,West,65,676.66
2025-04-22,West,74,677.25
2025-04-23,West,70,645.56
2025-04-24,West,64,660.01
2025-04-25,West,75,775.92
2025-04-26,West,70,729.46
2025-04-27,West,80,835.22
2025-04-28,West,71,733.14
2025-04-29,West,69,697.26
2025-04-30,West,72,754.76
2025-05-01,West,69,632.25
2025-05-02,West,65,612.54
2025-05-03,West,67,702.35
2025-05-04,West,76,713.27
2025-05-05,West,75,754.61
2025-05-06,West,80,761.65
2025-05-07,West,56,552.3
2025-05-08,West,67,714.78
2025-05-09,West,66,681.2
2025-05-10,West,71,702.22
2025-05-11,West,66,630.11
2025-05-12,West,66,700.26
2025-05-13,West,76,783.87
2025-05-14,West,71,701.47
2025-05-15,West,60,644.31
2025-05-16,West,81,841.18
2025-05-17,West,78,854.97
2025-05-18,West,65,671.37
2025-05-19,West,77,831.58
2025-05-20,West,64,646.45
2025-05-21,West,79,823.18
2025-05-22,West,69,737.26
2025-05-23,West,64,587.58
2025-05-24,West,68,676.49
2025-05-25,West,65,663.73
2025-05-26,West,73,665.44
2025-05-27,West,73,772.23
2025-05-28,West,72,751.04
2025-05-29,West,68,739.33
2025-05-30,West,43,419.0
2025-05-31,West,74,735.44
2025-06-01,West,58,627.78
2025-06-02,West,76,746.55
2025-06-03,West,83,885.5
2025-06-04,West,77,757.9
2025-06-05,West,72,696.64
2025-06-06,West,74,707.03
2025-06-07,West,75,707.02
2025-06-08,West,72,710.13
2025-06-09,West,72,671.27
2025-06-10,West,70,745.92
2025-06-11,West,87,952.55
2025-06-12,West,78,717.2
2025-06-13,West,86,783.43
2025-06-14,West,77,693.58
2025-06-15,West,80,869.13
2025-06-16,West,79,722.66
2025-06-17,West,84,870.27
2025-06-18,West,88,845.48
2025-06-19,West,84,789.3
2025-06-20,West,77,730.94
2025-06-21,West,77,799.21
2025-06-22,West,97,876.49
2025-06-23,West,82,879.83
2025-06-24,West,82,831.12
2025-06-25,West,97,918.71
2025-06-26,West,95,894.58
2025-06-27,West,91,938.16
2025-06-28,West,84,861.73
2025-06-29,West,107,1031.08
2025-06-30,West,92,889.46
2025-07-01,West,93,923.2
2025-07-02,West,88,952.24
2025-07-03,West,79,796.05
2025-07-04,West,80,854.41
2025-07-05,West,95,976.76
2025-07-06,West,95,961.8
2025-07-07,West,91,908.12
2025-07-08,West,84,870.35
2025-07-09,West,83,828.59
2025-07-10,West,92,961.58
2025-07-11,West,84,786.59
2025-07-12,West,103,993.4
2025-07-13,West,106,1139.11
2025-07-14,West,120,1174.85
2025-07-15,West,105,1122.05
2025-07-16,West,94,1022.34
2025-07-17,West,92,934.44
2025-07-18,West,72,662.67
2025-07-19,West,95,998.82
2025-07-20,West,99,1022.84
2025-07-21,West,109,1044.39
2025-07-22,West,106,1136.95
2025-07-23,West,107,1066.3
2025-07-24,West,104,947.86
2025-07-25,West,108,986.68
2025-07-26,West,115,1087.52
2025-07-27,West,95,970.87
2025-07-28,West,101,1073.67
2025-07-29,West,94,864.62
2025-07-30,West,118,1067.26
2025-07-31,West,116,1188.42
2025-08-01,West,112,1099.72
2025-08-02,West,97,958.68
2025-08-03,West,108,1149.27
2025-08-04,West,105,1137.99
2025-08-05,West,108,1180.92
2025-08-06,West,106,1119.18
2025-08-07,West,112,1008.73
2025-08-08,West,105,976.61
2025-08-09,West,115,1170.07
2025-08-10,West,111,1211.07
2025-08-11,West,107,980.43
2025-08-12,West,108,1083.23
2025-08-13,West,106,1038.05
2025-08-14,West,116,1138.39
2025-08-15,West,108,1030.01
2025-08-16,West,112,1068.65
2025-08-17,West,107,1014.01
2025-08-18,West,98,902.22
2025-08-19,West,117,1182.65
2025-08-20,West,102,1008.97
2025-08-21,West,116,1209.4
2025-08-22,West,114,1171.91
2025-08-23,West,97,1057.84
2025-08-24,West,103,996.96
2025-08-25,West,106,1141.09
2025-08-26,West,104,1016.03
2025-08-27,West,101,1042.46
2025-08-28,West,116,1230.76
2025-08-29,West,108,1057.7
2025-08-30,West,113,1117.83
2025-08-31,West,106,1087.83
2025-09-01,West,112,1032.81
2025-09-02,West,104,1046.61
2025-09-03,West,109,1001.7
2025-09-04,West,114,1077.27
2025-09-05,West,109,1116.83
2025-09-06,West,105,1149.15
2025-09-07,West,100,1099.87
2025-09-08,West,110,1047.35
2025-09-09,West,111,1031.48
2025-09-10,West,106,1063.94
2025-09-11,West,101,998.16
2025-09-12,West,112,1092.99
2025-09-13,West,127,1338.19
2025-09-14,West,104,1083.62
2025-09-15,West,109,1103.48
2025-09-16,West,109,1116.48
2025-09-17,West,85,863.92
2025-09-18,West,106,1097.5
2025-09-19,West,99,1074.71
2025-09-20,West,116,1263.63
2025-09-21,West,102,1117.82
2025-09-22,West,98,1050.51
2025-09-23,West,102,939.37
2025-09-24,West,105,1039.85
2025-09-25,West,98,1035.19
2025-09-26,West,102,978.04
2025-09-27,West,91,929.42
2025-09-28,West,100,911.05
2025-09-29,West,107,1006.58
2025-09-30,West,117,1146.65
2025-10-01,West,106,968.88
2025-10-02,West,102,1004.56
2025-10-03,West,109,1031.16
2025-10-04,West,107,1147.42
2025-10-05,West,112,1079.41
2025-10-06,West,107,1044.48
2025-10-07,West,97,1028.59
2025-10-08,West,100,1011.93
2025-10-09,West,99,900.92
2025-10-10,West,99,934.08
2025-10-11,West,98,1001.73
2025-10-12,West,90,845.89
2025-10-13,West,79,750.23
2025-10-14,West,90,922.13
2025-10-15,West,79,789.14
2025-10-16,West,95,906.13
2025-10-17,West,94,951.13
2025-10-18,West,81,831.67
2025-10-19,West,99,898.8
2025-10-20,West,100,954.77
2025-10-21,West,94,903.85
2025-10-22,West,106,1140.29
2025-10-23,West,107,973.98
2025-10-24,West,82,794.93
2025-10-25,West,100,938.91
2025-10-26,West,95,987.08
2025-10-27,West,95,1009.13
2025-10-28,West,99,902.37
2025-10-29,West,85,911.76
2025-10-30,West,86,893.71
2025-10-31,West,84,792.45
2025-11-01,West,84,909.86
2025-11-02,West,90,862.75
2025-11-03,West,79,835.58
2025-11-04,West,82,750.29
2025-11-05,West,95,941.65
2025-11-06,West,89,891.02
2025-11-07,West,93,1003.76
2025-11-08,West,75,800.48
2025-11-09,West,83,837.7
2025-11-10,West,85,773.76
2025-11-11,West,90,887.4
2025-11-12,West,85,828.8
2025-11-13,West,97,1066.13
2025-11-14,West,89,922.17
2025-11-15,West,90,882.91
2025-11-16,West,90,875.67
2025-11-17,West,96,1011.38
2025-11-18,West,87,799.67
2025-11-19,West,99,1052.77
2025-11-20,West,94,972.13
2025-11-21,West,92,908.09
2025-11-22,West,91,948.28
2025-11-23,West,95,930.58
2025-11-24,West,100,928.63
2025-11-25,West,99,973.55
2025-11-26,West,95,864.76
2025-11-27,West,99,908.25
2025-11-28,West,94,928.54
2025-11-29,West,103,1096.97
2025-11-30,West,93,874.88
2025-12-01,West,77,770.13
2025-12-02,West,105,1150.58
2025-12-03,West,95,1012.22
2025-12-04,West,85,918.33
2025-12-05,West,94,972.89
2025-12-06,West,88,895.68
2025-12-07,West,113,1148.5
2025-12-08,West,100,1020.25
2025-12-09,West,84,834.12
2025-12-10,West,102,991.57
2025-12-11,West,95,900.35
2025-12-12,West,114,1040.89
2025-12-13,West,90,876.44
2025-12-14,West,81,853.72
2025-12-15,West,100,1010.54
2025-12-16,West,98,914.14
2025-12-17,West,98,1041.58
2025-12-18,West,84,762.97
2025-12-19,West,106,1151.4
2025-12-20,West,116,1195.22
2025-12-21,West,88,889.88
2025-12-22,West,113,1110.25
2025-12-23,West,100,1065.01
2025-12-24,West,124,1117.68
2025-12-25,West,109,984.47
2025-12-26,West,105,1054.27
2025-12-27,West,116,1112.92
2025-12-28,West,112,1097.95
2025-12-29,West,103,1037.54
2025-12-30,West,115,1045.07
2025-12-31,West,105,1151.44
